team,venue,matches,wins
Namibia,"Amini Park, Port Moresby",4,4
South Africa,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,2
India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1
South Africa,"JSCA International Stadium Complex, Ranchi",2,0
India,"JSCA International Stadium Complex, Ranchi",2,2
South Africa,"Arun Jaitley Stadium, Delhi",2,1
India,"Arun Jaitley Stadium, Delhi",1,1
United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",12,4
Papua New Guinea,"Wanderers Cricket Ground, Windhoek",6,0
United States of America,"Wanderers Cricket Ground, Windhoek",7,5
India,"Eden Park, Auckland",1,0
New Zealand,"Eden Park, Auckland",3,2
Namibia,"United Cricket Club Ground, Windhoek",7,2
Scotland,"United Cricket Club Ground, Windhoek",4,3
Nepal,"United Cricket Club Ground, Windhoek",3,0
India,"Shere Bangla National Stadium, Mirpur",2,0
India,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,1
Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",5,3
New Zealand,"National Stadium, Karachi",8,5
India,"Barsapara Cricket Stadium, Guwahati",1,1
Sri Lanka,"Barsapara Cricket Stadium, Guwahati",1,0
Sri Lanka,"Eden Gardens, Kolkata",1,0
India,"Eden Gardens, Kolkata",2,2
India,"Greenfield International Stadium, Thiruvananthapuram",1,1
Sri Lanka,"Greenfield International Stadium, Thiruvananthapuram",1,0
India,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1
New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,1
New Zealand,"Shaheed Veer Narayan Singh International Stadium, Raipur",1,0
India,"Shaheed Veer Narayan Singh International Stadium, Raipur",2,1
India,"Holkar Cricket Stadium, Indore",3,2
New Zealand,"Holkar Cricket Stadium, Indore",2,1
South Africa,"Mangaung Oval, Bloemfontein",4,2
England,"Mangaung Oval, Bloemfontein",2,0
England,"Diamond Oval, Kimberley",1,1
South Africa,"Diamond Oval, Kimberley",1,0
Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",8,3
Scotland,"Tribhuvan University International Cricket Ground, Kirtipur",8,4
England,"Shere Bangla National Stadium, Mirpur",2,2
England,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,0
West Indies,"Buffalo Park, East London",1,1
Ireland,Sylhet International Cricket Stadium,2,0
India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,1
Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,1
Netherlands,Harare Sports Club,6,2
West Indies,"Senwes Park, Potchefstroom",1,0
South Africa,"Senwes Park, Potchefstroom",1,1
Australia,"MA Chidambaram Stadium, Chepauk, Chennai",2,1
India,"MA Chidambaram Stadium, Chepauk, Chennai",2,1
Sri Lanka,"Eden Park, Auckland",2,1
United Arab Emirates,"Wanderers Cricket Ground, Windhoek",4,3
Canada,"Wanderers Cricket Ground, Windhoek",4,1
United Arab Emirates,"United Cricket Club Ground, Windhoek",5,2
United States of America,"United Cricket Club Ground, Windhoek",6,6
Jersey,"Wanderers Cricket Ground, Windhoek",2,0
Netherlands,"Willowmoore Park, Benoni",1,0
South Africa,"Willowmoore Park, Benoni",1,1
Sri Lanka,"Seddon Park, Hamilton",2,0
Jersey,"United Cricket Club Ground, Windhoek",2,1
Papua New Guinea,"United Cricket Club Ground, Windhoek",2,0
Netherlands,"The Wanderers Stadium, Johannesburg",1,0
Canada,"United Cricket Club Ground, Windhoek",1,1
Oman,"Tribhuvan University International Cricket Ground, Kirtipur",5,1
United Arab Emirates,Mulpani Cricket Ground,1,1
Oman,Mulpani Cricket Ground,1,0
Ireland,"County Ground, Chelmsford",2,0
Bangladesh,"County Ground, Chelmsford",2,2
Nepal,Harare Sports Club,2,0
West Indies,"Takashinga Sports Club, Highfield, Harare",1,1
United States of America,"Takashinga Sports Club, Highfield, Harare",5,0
Ireland,Bulawayo Athletic Club,2,1
Oman,Bulawayo Athletic Club,3,2
Sri Lanka,"Queens Sports Club, Bulawayo",6,6
United Arab Emirates,"Queens Sports Club, Bulawayo",1,0
Nepal,"Takashinga Sports Club, Highfield, Harare",4,2
Ireland,"Queens Sports Club, Bulawayo",2,0
Scotland,"Queens Sports Club, Bulawayo",4,2
United Arab Emirates,Bulawayo Athletic Club,3,0
Netherlands,"Takashinga Sports Club, Highfield, Harare",2,2
Oman,"Queens Sports Club, Bulawayo",2,0
United States of America,Harare Sports Club,1,0
Ireland,"Takashinga Sports Club, Highfield, Harare",2,2
United Arab Emirates,"Takashinga Sports Club, Highfield, Harare",2,1
Oman,Harare Sports Club,2,0
India,"Kensington Oval, Bridgetown, Barbados",2,1
India,"Brian Lara Stadium, Tarouba, Trinidad",1,1
West Indies,"Brian Lara Stadium, Tarouba, Trinidad",4,2
Nepal,Multan Cricket Stadium,1,0
Nepal,Pallekele International Cricket Stadium,1,0
Bangladesh,"Gaddafi Stadium, Lahore",1,0
Australia,"Mangaung Oval, Bloemfontein",2,2
New Zealand,"Sophia Gardens, Cardiff",1,1
Bangladesh,"R Premadasa Stadium, Colombo",4,2
Pakistan,"R Premadasa Stadium, Colombo",2,0
England,"The Rose Bowl, Southampton",2,2
New Zealand,"The Rose Bowl, Southampton",1,0
South Africa,"Sedgars Park, Potchefstroom",1,1
Australia,"Sedgars Park, Potchefstroom",1,0
New Zealand,"Kennington Oval, London",1,0
New Zealand,"Lord's, London",1,0
Australia,"The Wanderers Stadium, Johannesburg",1,0
Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,0
India,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,1
New Zealand,"Shere Bangla National Stadium, Mirpur",4,3
Ireland,"Trent Bridge, Nottingham",1,0
Australia,"Holkar Cricket Stadium, Indore",1,0
Australia,"Saurashtra Cricket Association Stadium, Rajkot",1,1
India,"Saurashtra Cricket Association Stadium, Rajkot",1,0
England,"Narendra Modi Stadium, Ahmedabad",3,0
New Zealand,"Narendra Modi Stadium, Ahmedabad",1,1
Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,2
Netherlands,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,0
Sri Lanka,"Arun Jaitley Stadium, Delhi",2,0
England,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,1
Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,0
Sri Lanka,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0
Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1
Bangladesh,"MA Chidambaram Stadium, Chepauk, Chennai",1,0
New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",1,1
Pakistan,"Narendra Modi Stadium, Ahmedabad",1,0
Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1
Netherlands,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,1
South Africa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,0
Bangladesh,"Maharashtra Cricket Association Stadium, Pune",2,0
India,"Maharashtra Cricket Association Stadium, Pune",1,1
Australia,"M Chinnaswamy Stadium, Bengaluru",1,1
Pakistan,"M Chinnaswamy Stadium, Bengaluru",2,1
Netherlands,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0
South Africa,"Wankhede Stadium, Mumbai",2,2
England,"Wankhede Stadium, Mumbai",1,0
New Zealand,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,0
India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,1
Bangladesh,"Wankhede Stadium, Mumbai",1,0
Australia,"Arun Jaitley Stadium, Delhi",1,1
Netherlands,"Arun Jaitley Stadium, Delhi",1,0
England,"M Chinnaswamy Stadium, Bengaluru",1,0
Sri Lanka,"M Chinnaswamy Stadium, Bengaluru",2,1
Pakistan,"MA Chidambaram Stadium, Chepauk, Chennai",1,0
South Africa,"MA Chidambaram Stadium, Chepauk, Chennai",1,1
Australia,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,1
Netherlands,"Eden Gardens, Kolkata",1,1
Bangladesh,"Eden Gardens, Kolkata",2,0
England,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0
Pakistan,"Eden Gardens, Kolkata",2,1
South Africa,"Maharashtra Cricket Association Stadium, Pune",1,1
New Zealand,"Maharashtra Cricket Association Stadium, Pune",1,0
Sri Lanka,"Wankhede Stadium, Mumbai",1,0
Australia,"Narendra Modi Stadium, Ahmedabad",2,2
New Zealand,"M Chinnaswamy Stadium, Bengaluru",2,1
South Africa,"Eden Gardens, Kolkata",2,0
Bangladesh,"Arun Jaitley Stadium, Delhi",1,1
England,"Maharashtra Cricket Association Stadium, Pune",1,1
Netherlands,"Maharashtra Cricket Association Stadium, Pune",1,0
Australia,"Maharashtra Cricket Association Stadium, Pune",1,1
England,"Eden Gardens, Kolkata",1,1
India,"M Chinnaswamy Stadium, Bengaluru",1,1
Netherlands,"M Chinnaswamy Stadium, Bengaluru",1,0
New Zealand,"Wankhede Stadium, Mumbai",1,0
Australia,"Eden Gardens, Kolkata",1,1
England,"Sir Vivian Richards Stadium, North Sound, Antigua",4,2
West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",4,2
England,"Kensington Oval, Bridgetown, Barbados",2,0
New Zealand,"University Oval, Dunedin",1,1
Bangladesh,"University Oval, Dunedin",1,0
India,"The Wanderers Stadium, Johannesburg",1,1
India,"St George's Park, Gqeberha",1,0
South Africa,"St George's Park, Gqeberha",1,1
Bangladesh,"Saxton Oval, Nelson",1,0
New Zealand,"Saxton Oval, Nelson",1,1
Bangladesh,"McLean Park, Napier",1,1
Zimbabwe,"R Premadasa Stadium, Colombo",2,0
West Indies,"Manuka Oval, Canberra",1,0
Australia,"Manuka Oval, Canberra",1,1
Canada,"Tribhuvan University International Cricket Ground, Kirtipur",3,0
Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",4,2
Canada,Dubai International Cricket Stadium,4,4
Sri Lanka,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,1
Oman,"Forthill, Dundee",3,1
Namibia,"Forthill, Dundee",4,1
Scotland,"Forthill, Dundee",10,8
Canada,"Sportpark Westvliet, The Hague",2,0
Netherlands,"Sportpark Westvliet, The Hague",2,2
United States of America,"Sportpark Westvliet, The Hague",2,1
Canada,"Hazelaarweg, Rotterdam",2,0
United States of America,"Hazelaarweg, Rotterdam",2,1
Canada,"Maple Leaf North-West Ground, King City",10,5
Nepal,"Maple Leaf North-West Ground, King City",3,0
Oman,"Maple Leaf North-West Ground, King City",3,1
Australia,"Trent Bridge, Nottingham",1,1
Australia,"Headingley, Leeds",1,1
England,"Headingley, Leeds",2,0
Australia,"Riverside Ground, Chester-le-Street",1,0
Australia,"Lord's, London",1,0
England,"County Ground, Bristol",1,0
Australia,"County Ground, Bristol",1,1
South Africa,"Zayed Cricket Stadium, Abu Dhabi",3,2
Ireland,"Zayed Cricket Stadium, Abu Dhabi",3,1
United States of America,"Grand Prairie Stadium, Dallas",3,1
Scotland,"Grand Prairie Stadium, Dallas",3,2
Nepal,"Grand Prairie Stadium, Dallas",2,1
Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4,1
Pakistan,Perth Stadium,1,1
Pakistan,"Queens Sports Club, Bulawayo",3,2
Bangladesh,"Warner Park, Basseterre, St Kitts",3,0
West Indies,"Warner Park, Basseterre, St Kitts",3,3
Pakistan,"Boland Park, Paarl",1,1
Pakistan,"The Wanderers Stadium, Johannesburg",1,1
Sri Lanka,"Basin Reserve, Wellington",1,0
New Zealand,"Basin Reserve, Wellington",1,1
England,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0
India,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,1
England,"Barabati Stadium, Cuttack",1,0
South Africa,"National Stadium, Karachi",2,1
England,"Gaddafi Stadium, Lahore",1,0
England,"National Stadium, Karachi",1,0
Netherlands,"Wanderers Cricket Ground, Windhoek",2,2
Pakistan,"McLean Park, Napier",1,0
Pakistan,"Seddon Park, Hamilton",1,0
Pakistan,"Bay Oval, Mount Maunganui",1,0
United Arab Emirates,"VRA Ground, Amstelveen",3,1
Scotland,"VRA Ground, Amstelveen",3,1
United Arab Emirates,"Sportpark Maarschalkerweerd, Utrecht",2,0
Scotland,"Sportpark Maarschalkerweerd, Utrecht",2,2
United States of America,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",3,3
Canada,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",4,0
Oman,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",3,2
Ireland,"Castle Avenue, Dublin",2,1
West Indies,"Castle Avenue, Dublin",2,1
West Indies,"Edgbaston, Birmingham",1,0
West Indies,"Sophia Gardens, Cardiff",1,0
Nepal,"Forthill, Dundee",4,3
West Indies,"Kennington Oval, London",1,0
Netherlands,"Forthill, Dundee",4,1
Pakistan,"Brian Lara Stadium, Tarouba, Trinidad",3,1
South Africa,"Cazaly's Stadium, Cairns",1,1
South Africa,"Great Barrier Reef Arena, Mackay",2,1
Australia,"Great Barrier Reef Arena, Mackay",2,1
Namibia,"Maple Leaf North-West Ground, King City",3,2
Scotland,"Maple Leaf North-West Ground, King City",2,2
South Africa,"Headingley, Leeds",1,1
India,Perth Stadium,1,0
England,"Bay Oval, Mount Maunganui",1,0
United States of America,Dubai International Cricket Stadium,3,3
England,"Seddon Park, Hamilton",1,0
Nepal,"ICC Academy, Dubai",3,0
England,"Sky Stadium, Wellington",1,0
New Zealand,"Sky Stadium, Wellington",1,1
United States of America,"ICC Academy, Dubai",1,1
New Zealand,"Hagley Oval, Christchurch",1,1
West Indies,"Hagley Oval, Christchurch",1,0
West Indies,"McLean Park, Napier",1,0
West Indies,"Seddon Park, Hamilton",1,0
South Africa,"Shaheed Veer Narayan Singh International Stadium, Raipur",1,1
South Africa,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,0
New Zealand,"Kotambi Stadium, Vadodara",1,0
India,"Kotambi Stadium, Vadodara",1,1
India,"Niranjan Shah Stadium, Rajkot",1,0
New Zealand,"Niranjan Shah Stadium, Rajkot",1,1
England,"R Premadasa Stadium, Colombo",3,2
Pakistan,"Shere Bangla National Stadium, Mirpur",3,1
Namibia,"Namibia Cricket Ground, Windhoek",4,1
Oman,"Namibia Cricket Ground, Windhoek",3,2
Scotland,"Namibia Cricket Ground, Windhoek",2,1
Bangladesh,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",1,1
New Zealand,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",1,0
United States of America,"Tribhuvan University International Cricket Ground, Kirtipur",4,1
Australia,Rawalpindi Cricket Stadium,1,0
Sri Lanka,"Sabina Park, Kingston, Jamaica",1,1
United States of America,"Maple Leaf North-West Ground, King City",3,2
Netherlands,"Maple Leaf North-West Ground, King City",2,1
Australia,"Shere Bangla National Stadium, Mirpur",3,1
New Zealand,"Providence Stadium, Guyana",3,2
India,"Edgbaston, Birmingham",1,1
India,"Sophia Gardens, Cardiff",1,0
Nepal,"Sportpark Maarschalkerweerd, Utrecht",4,0
Namibia,"Sportpark Maarschalkerweerd, Utrecht",4,3
Canada,"Forthill, Dundee",3,0
United Arab Emirates,"Forthill, Dundee",2,1
United Arab Emirates,"YSD-UKM Cricket Oval, Bangi",1,1
Oman,"YSD-UKM Cricket Oval, Bangi",1,0
South Africa,"Namibia Cricket Ground, Windhoek",1,1
