team,venue,matches,wins
South Africa,"Sardar Patel Stadium, Motera",2,2
New Zealand,"Punjab Cricket Association Stadium, Mohali",3,1
Pakistan,"Punjab Cricket Association Stadium, Mohali",4,1
India,"Sardar Patel Stadium, Motera",5,2
South Africa,"Punjab Cricket Association Stadium, Mohali",2,2
England,"Sardar Patel Stadium, Motera",1,1
India,"Punjab Cricket Association Stadium, Mohali",8,4
Australia,"Punjab Cricket Association Stadium, Mohali",4,4
South Africa,Sawai Mansingh Stadium,2,0
India,Kingsmead,4,1
India,Newlands,3,2
Bermuda,Sedgars Park,1,0
Canada,Sedgars Park,1,1
India,St George's Park,3,1
Bermuda,Willowmoore Park,2,1
Canada,Willowmoore Park,3,2
Netherlands,Willowmoore Park,2,1
Zimbabwe,Shaheed Chandu Stadium,2,0
India,SuperSport Park,5,2
Pakistan,Iqbal Stadium,4,4
West Indies,Iqbal Stadium,1,0
Bangladesh,Shere Bangla National Stadium,72,33
Zimbabwe,Shere Bangla National Stadium,16,3
West Indies,Gaddafi Stadium,1,0
West Indies,Multan Cricket Stadium,4,1
West Indies,National Stadium,1,0
Sri Lanka,McLean Park,1,1
Sri Lanka,Eden Park,1,1
New Zealand,Bellerive Oval,3,0
England,Bellerive Oval,3,1
England,"Brisbane Cricket Ground, Woolloongabba",6,3
New Zealand,Adelaide Oval,3,1
India,"MA Chidambaram Stadium, Chepauk",8,5
West Indies,"MA Chidambaram Stadium, Chepauk",5,2
New Zealand,Western Australia Cricket Association Ground,3,2
England,Western Australia Cricket Association Ground,5,2
India,Indian Petrochemicals Corporation Limited Sports Complex Ground,1,1
West Indies,Indian Petrochemicals Corporation Limited Sports Complex Ground,1,0
Bermuda,Gymkhana Club Ground,4,0
Canada,Gymkhana Club Ground,3,1
Bermuda,Ruaraka Sports Club Ground,1,0
Netherlands,Ruaraka Sports Club Ground,1,1
Pakistan,SuperSport Park,6,2
Scotland,Gymkhana Club Ground,1,1
New Zealand,Melbourne Cricket Ground,4,1
Kenya,Jaffery Sports Club Ground,1,1
Canada,Jaffery Sports Club Ground,1,0
New Zealand,"Brisbane Cricket Ground, Woolloongabba",1,0
Pakistan,Kingsmead,3,2
Pakistan,Newlands,3,1
Sri Lanka,"Nehru Stadium, Fatorda",1,0
Pakistan,New Wanderers Stadium,4,1
Australia,Westpac Stadium,3,1
India,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,1,1
Sri Lanka,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,1,0
New Zealand,Seddon Park,19,13
Australia,Seddon Park,4,1
Pakistan,"Sabina Park, Kingston",3,1
Australia,"Warner Park, Basseterre",7,6
Scotland,"Warner Park, Basseterre",3,0
Bermuda,"Queen's Park Oval, Port of Spain",3,0
Sri Lanka,"Queen's Park Oval, Port of Spain",8,4
England,"Beausejour Stadium, Gros Islet",4,3
New Zealand,"Beausejour Stadium, Gros Islet",3,3
Netherlands,"Warner Park, Basseterre",3,1
South Africa,"Warner Park, Basseterre",5,3
Ireland,"Sabina Park, Kingston",3,1
Bangladesh,"Queen's Park Oval, Port of Spain",3,2
Canada,"Beausejour Stadium, Gros Islet",2,0
Zimbabwe,"Sabina Park, Kingston",2,0
Kenya,"Beausejour Stadium, Gros Islet",2,0
West Indies,"Sir Vivian Richards Stadium, North Sound",13,3
Australia,"Sir Vivian Richards Stadium, North Sound",3,3
South Africa,Providence Stadium,5,3
Sri Lanka,Providence Stadium,2,1
New Zealand,"Sir Vivian Richards Stadium, North Sound",2,2
England,Providence Stadium,3,2
Ireland,Providence Stadium,3,0
Bangladesh,"Sir Vivian Richards Stadium, North Sound",2,0
West Indies,Providence Stadium,15,7
England,"Sir Vivian Richards Stadium, North Sound",7,4
Sri Lanka,"Sir Vivian Richards Stadium, North Sound",1,1
Bangladesh,Providence Stadium,3,2
New Zealand,Providence Stadium,1,1
West Indies,"National Cricket Stadium, St George's",7,4
South Africa,"National Cricket Stadium, St George's",2,1
Bangladesh,"Kensington Oval, Bridgetown",3,0
England,"Kensington Oval, Bridgetown",6,4
New Zealand,"National Cricket Stadium, St George's",3,1
Sri Lanka,"National Cricket Stadium, St George's",3,2
Australia,"Kensington Oval, Bridgetown",4,4
Ireland,"Kensington Oval, Bridgetown",2,1
Australia,"National Cricket Stadium, St George's",4,4
South Africa,"Kensington Oval, Bridgetown",2,1
Ireland,"National Cricket Stadium, St George's",1,0
West Indies,"Kensington Oval, Bridgetown",10,4
New Zealand,"Sabina Park, Kingston",3,0
Sri Lanka,"Sabina Park, Kingston",3,2
Australia,"Beausejour Stadium, Gros Islet",3,2
South Africa,"Beausejour Stadium, Gros Islet",1,0
Sri Lanka,"Kensington Oval, Bridgetown",1,0
India,Shere Bangla National Stadium,20,13
Africa XI,M Chinnaswamy Stadium,1,0
Asia XI,M Chinnaswamy Stadium,1,1
Africa XI,"MA Chidambaram Stadium, Chepauk",2,0
Asia XI,"MA Chidambaram Stadium, Chepauk",2,2
India,"Civil Service Cricket Club, Stormont",4,3
South Africa,"Civil Service Cricket Club, Stormont",4,2
West Indies,Edgbaston,2,1
Sri Lanka,P Saravanamuttu Stadium,1,1
